256 5085.433059
336 4175.975282
424 4618.497060
512 4935.766507
680 1808.286192
848 3037.587878
1024 3265.734790
1360 3626.465036
1704 3985.666997
2048 3971.403032
2728 4081.006796
3408 4214.605422
4096 4377.957669
5456 4357.086204
6824 4403.996752
8192 4509.750165
10920 4488.880697
13648 4524.677932
16384 4575.593418
21840 4569.974314
27304 4583.345766
32768 4628.973395
43688 4346.654141
54608 4518.897576
65536 4551.136772
87376 4539.300433
109224 4375.932643
131072 4564.276155
174760 4549.795354
218448 4537.602967
262144 4545.405985
349520 4337.933687
436904 4327.026385
524288 4316.415592
699048 4317.540431
873808 4323.640460
1048576 4315.496412
1398096 4322.555396
1747624 4322.469617
2097152 4321.479852
2796200 4498.128911
3495248 4338.309336
4194304 4336.180842
5592400 4340.387777
6990504 4327.656793
8388608 4281.935422
11184808 4014.606801
13981008 3488.338199
16777216 3071.009874
