256 1838.889675
336 1839.747995
424 1841.423481
512 1782.123581
680 1798.613822
848 1808.618644
1024 1816.184162
1360 1825.178636
1704 1831.849143
2048 1906.329978
2728 1841.095457
3408 1844.773143
4096 1848.188410
5456 1851.086882
6824 1853.357798
8192 1855.690399
10920 1797.287408
13648 1798.745060
16384 1800.557168
21840 1791.860078
27304 1793.907701
32768 1794.954356
43688 1796.589239
54608 1798.001242
65536 1799.648241
87376 1799.974460
109224 1801.963469
131072 1803.790782
174760 1804.915017
218448 1806.299447
262144 1926.664975
349520 1806.158574
436904 1807.499064
524288 1809.795311
699048 1810.197822
873808 1811.822605
1048576 1812.999686
1398096 1804.997623
1747624 1815.173923
2097152 1815.914928
2796200 1813.497425
3495248 1814.856723
4194304 1746.645156
5592400 1819.439429
6990504 1820.544411
8388608 1818.304155
11184808 1793.241572
13981008 1750.540081
16777216 1738.629964
