256 9775.972252
336 10145.650656
424 10806.918469
512 9808.612846
680 5770.299767
848 6273.786541
1024 4478.929234
1360 7727.676356
1704 7711.405766
2048 7936.494313
2728 8452.084217
3408 8640.241525
4096 8843.823619
5456 8561.720131
6824 8486.079831
8192 8942.364366
10920 8919.836042
13648 8855.794583
16384 9029.803178
21840 8940.605677
27304 9015.429146
32768 8985.926332
43688 8815.165645
54608 8810.734472
65536 8861.868447
87376 8843.615047
109224 8861.107216
131072 8882.392489
174760 8878.337457
218448 8886.292467
262144 8895.758723
349520 8828.768836
436904 8847.436103
524288 9104.809243
699048 8855.011470
873808 8860.292105
1048576 8873.557811
1398096 8873.193152
1747624 8880.365683
2097152 8892.203362
2796200 8841.057648
3495248 8848.763063
4194304 8859.079114
5592400 8860.898154
6990504 8551.271768
8388608 8458.468886
11184808 8011.699600
13981008 7036.730983
16777216 6339.382695
