256 5194.244756
336 5018.791611
424 4874.582245
512 4749.506052
680 3449.791500
848 3514.173346
1024 3693.408876
1360 3926.994830
1704 4092.382644
2048 4220.818375
2728 4379.760555
3408 4492.038655
4096 4566.841649
5456 4428.657530
6824 4519.309448
8192 4601.852269
10920 4871.703607
13648 4542.471039
16384 4615.356712
21840 4569.068284
27304 4601.353192
32768 4626.685344
43688 4609.046281
54608 4789.165645
65536 4625.644663
87376 4621.237624
109224 4628.867596
131072 4638.444178
174760 4638.060031
218448 4641.126371
262144 4648.833155
349520 4619.173960
436904 4623.565732
524288 4578.252450
699048 4634.558499
873808 4640.237127
1048576 4653.842665
1398096 4881.362183
1747624 4648.993371
2097152 4649.173258
2796200 4631.995807
3495248 4633.997672
4194304 4658.525065
5592400 4638.660999
6990504 4642.088527
8388608 4638.717433
11184808 4577.102613
13981008 4407.666835
16777216 4325.053178
